nombre_auspiciador,id_auspiciador,tipo,id_persona,id_organizacion
Hacia el Litoral,238,colectivo,3244,#N/A
13ª Feria del Libro del Pacífico,1,evento,#N/A,20
14 Salones regionales,2,evento,#N/A,21
15 Salones Regionales de Artistas –Zona Pacífico–,3,evento,#N/A,22
7 Festival de Performance de Cali,4,evento,#N/A,23
Art's events,24,evento,#N/A,24
Becas Bloc,47,evento,#N/A,25
Bloc 2014,54,evento,#N/A,26
Expo-marca Latinoamericana,171,evento,#N/A,27
Festival Internacional de Arte,180,evento,#N/A,28
Festival Internacional de Arte de Cali,181,evento,#N/A,29
Festival Nacional de Arte,182,evento,#N/A,30
Juegos del Pacífico,275,evento,#N/A,31
la trayectoria de una imágen,283,evento,#N/A,32
Videosónica,407,evento,#N/A,407
VII Congreso colombiano de farmacología y terapeutica,408,evento,#N/A,408
Emilio Antonio Nejem,158,persona,2544,#N/A
ACODRES,5,organizacion,#N/A,33
Aerolíneas Tampa,6,organizacion,#N/A,34
AFEX,7,organizacion,#N/A,35
Agencia de Comunicación Internacional de los Estados Unidos,8,organizacion,#N/A,36
Agencia Española de Cooperación Internacional,9,organizacion,#N/A,37
Air France,10,organizacion,#N/A,38
Alcaldía de Cali,11,organizacion,#N/A,39
Alcaldía Mayor de Bogotá,12,organizacion,#N/A,40
Alianza Colombo-Francesa,13,organizacion,#N/A,41
Alianza Colombo-Francesa de Bogotá,14,organizacion,#N/A,42
Alianza Colombo-Francesa de Cali,15,organizacion,#N/A,43
Alianza Fiduciaria,16,organizacion,#N/A,44
Alianza Francesa,17,organizacion,#N/A,45
Allers S.A.,18,organizacion,#N/A,46
Almanaque Azul,19,organizacion,#N/A,47
Aluminio Munal,20,organizacion,#N/A,48
Amigos de las Américas,21,organizacion,#N/A,49
ANDI,23,organizacion,#N/A,50
Artemo Franco Mejía y Cia,25,organizacion,#N/A,51
Ashe y Cia.,26,organizacion,#N/A,52
Asocaña,27,organizacion,#N/A,53
Asociación colombiana de farmacología,28,organizacion,#N/A,54
Asociación de Amigos del Museo Nacional de Colombia,29,organizacion,#N/A,55
Asociación Francesa de Acción Artística,30,organizacion,#N/A,1
Atila de Colombia,31,organizacion,#N/A,57
Atlas,32,organizacion,#N/A,58
ATMA,33,organizacion,#N/A,59
Avianca,34,organizacion,#N/A,60
Aviatur,35,organizacion,#N/A,61
Bahareave,36,organizacion,#N/A,62
Banco Cafetero,37,organizacion,#N/A,63
Banco Comercial Antioqueño,38,organizacion,#N/A,64
Banco de Archivos Digitales de Arte,39,organizacion,#N/A,65
Banco de Colombia,40,organizacion,#N/A,66
Banco de la República,41,organizacion,#N/A,67
Banco de Occidente,42,organizacion,#N/A,68
Bancolombia,43,organizacion,#N/A,69
Baterías Mac,44,organizacion,#N/A,70
Bavaria,45,organizacion,#N/A,71
BBVA,46,organizacion,#N/A,72
Belart,48,organizacion,#N/A,73
Bellsouth,49,organizacion,#N/A,74
Beneficencia del Valle,50,organizacion,#N/A,75
Biblioteca Departamental David Martínez de Monteria,51,organizacion,#N/A,76
Biblioteca Departamental Jorge Garces Borrero,52,organizacion,#N/A,77
Biblioteca Luis Ángel Arango,53,organizacion,#N/A,78
Braniff International,55,organizacion,#N/A,79
Cali Cultural,57,organizacion,#N/A,80
caliescali.com,58,organizacion,#N/A,81
CaliKart,59,organizacion,#N/A,82
Cámara de Comercio de Cali,60,organizacion,#N/A,83
Camina al Río,61,organizacion,#N/A,84
Canada Dry,62,organizacion,#N/A,85
Canal U,63,organizacion,#N/A,86
Carambolo,64,organizacion,#N/A,87
Cartón de Colombia S.A.,67,organizacion,#N/A,88
Carvajal,68,organizacion,#N/A,89
Casa Color,69,organizacion,#N/A,90
Casa Negret,70,organizacion,#N/A,91
Casa-museo Ricardo Gómez Campuzano,71,organizacion,#N/A,92
Ceat General,72,organizacion,#N/A,93
Celanese de Colombia,73,organizacion,#N/A,94
Celsia,74,organizacion,#N/A,95
Central Castilla,75,organizacion,#N/A,96
Central de Anchicayá,76,organizacion,#N/A,97
Centro Ático,77,organizacion,#N/A,98
Centro Colombo-americano de Baranquilla,78,organizacion,#N/A,99
Centro Colombo-americano de Bogotá,79,organizacion,#N/A,100
Centro Colombo-americano de Cali,80,organizacion,#N/A,101
Centro Colombo-americano de Manizalez,81,organizacion,#N/A,102
Centro Colombo-americano de Medellín,82,organizacion,#N/A,103
Centro Cultural Colombo-americano,83,organizacion,#N/A,104
Centro Cultural Comfandi,84,organizacion,#N/A,105
Centro de Arte Actual,85,organizacion,#N/A,106
Centro de Arte y Comunicación de Buenos Aires,86,organizacion,#N/A,107
Centro de Relaciones Interamericanas,87,organizacion,#N/A,108
Centro para la Ciencia la Cultura y la Educación-CECCE,88,organizacion,#N/A,109
CERLAC,89,organizacion,#N/A,110
Chiclets Ice,90,organizacion,#N/A,111
CICOLAC,91,organizacion,#N/A,112
