id_doc,nombre_documento,ano_creacion,mes_creacion,diseno_edicion,impresor,tipologia,formato_publicacion,encuadernacion_publicacion,digital,archivo_txt,ruta_txt,dim_cerrado_ancho,dim_cerrado_largo,num_modulos,area_cerrado,paleta_rgb,id_img_fk,Escanear,Notas
1,Juan Antonio Roda,1972,Noviembre,,Arte Moderno & Cía Ltda,"Programa de mano, Catálogo",Cuadernillo ,Caballete,1,,,22,22.3,20,490.6,,d89.pdf,,
2,La Obra Gráfica de Lorenzo Homar,1972,Septiembre,,Arte Moderno & Cía Ltda,"Programa de mano, Catálogo",Plegable,,1,,,16.8,25,8,420,,d91.pdf,,
3,Grabados de artistas británicos,1972,Abril,,Canal Ramirez Antares,"Programa de mano, Catálogo",Cuadernillo,Caballete,1,,,137,21,16,2877,,d87.pdf,,
4,Eduardo Ramirez Villamizar,1972,Mayo,Al Hamonaway. New york,"Publicaciones cultural, Bogotá","Programa de mano, Catálogo",Librillo,Encolado,1,,,21,21,31,441,,d85.pdf,,
5,Grabados de Peter Milton,1972,Febrero,Ediciones Museo La Tertulia,,"Programa de mano, Catálogo",Cuadernillo,Encolado,1,,,22,17.8,10,391.6,,d88.pdf,,
6,Enrique Grau Obra 1962/ 1972,1973,Mayo,,Arte Moderno & Cía Ltda,"Programa de mano, Catálogo",Cuadernillo,Caballete,1,,,21,22,16,462,,,,
7,La Constante Geometría ,1972,Marzo,,,"Programa de mano, Catálogo",Cuadernillo,Caballete,1,,,21.5,22,24,473,,d90.pdf,,
8,Emilio Sánchez,1974,Diciembre,Gabriel Camargo,Arte Moderno & Cía Ltda,"Programa de mano, Catálogo",Cuadernillo,Caballete,1,,,24,19.5,16,468,,d94.pdf,,
9,Carlos Cruz Diez Obras Sobre el Muro: Graficas e Integración Arquitectónica,1975,Junio,,,"Programa de mano, Catálogo",Plegable,,1,,,21,21,6,441,,d224.pdf,,
10,Palabra e imagen,1974,Mayo,Distéfano+Fontana,Imprenta Anzilotti S.R.L.,"Programa de mano, Catálogo",Librillo,Encolado,0,,,21.2,24.9,32,527.88,,,,
