id_expo,id_curador,nombre_expo,nombre_curador,ano
ex.162,c.70,Exposición de figuras artesanales de santos primitivos y de grabados de Henández Cruz*1971,Instituto de Cultura Puertoriqueño,1971
ex.194,c.97,28 Artistas del Brasil*1975,Marc Berkowitz,1975
ex.196,c.133,XXV Salón Nacional de Artes Visuales*1975,Sergio Trujillo Jaramillo,1975
ex.211,c.42,Migraciones*1976,Ed Love,1976
ex.211,c.145,Migraciones*1976,Winston Kennedy,1976
ex.211,c.58,Migraciones*1976,George Smiths,1976
ex.211,c.143,Migraciones*1976,Willim Harris,1976
ex.211,c.2,Migraciones*1976,Acklyn Lynch,1976
ex.213,c.125,20 Artistas Jóvenes Suizos*1977,Pierre Keller,1977
ex.215,c.111,Seis Artistas Premiados en la III Bienal de Artes Gráficas*1977,Miguel González,1977
ex.215,c.53,Seis Artistas Premiados en la III Bienal de Artes Gráficas*1977,Franz Bader,1977
ex.215,c.37,Seis Artistas Premiados en la III Bienal de Artes Gráficas*1977,Darío Ruiz,1977
ex.215,c.121,Seis Artistas Premiados en la III Bienal de Artes Gráficas*1977,Pablo Neruda,1977
ex.215,c.21,Seis Artistas Premiados en la III Bienal de Artes Gráficas*1977,Bengt Oldenburg,1977
ex.215,c.109,Seis Artistas Premiados en la III Bienal de Artes Gráficas*1977,Marta Traba,1977
ex.223,c.63,Pintura y Escultura Colombiana de los Años 30*1978,Germán Rubiano Caballero,1978
ex.224,c.135,Grabadores Norteamericanos*1978,Sylvan Cole,1978
ex.237,c.8,Arte de los 80*1980,Álvaro Barrios,1980
ex.240,c.111,1960–1980 Alcántara*1980,Miguel González,1980
ex.262,c.111,Actitudes Plurales*1983,Miguel González,1983
ex.263,c.111,Geometría e Ilusión*1983,Miguel González,1983
ex.267,c.141,Carmen Aldunate*1983,Waldemar Sommer,1983
ex.270,c.111,Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia*1983,Miguel González,1983
ex.271,c.111,Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia*1983,Miguel González,1983
ex.272,c.111,Muestra de arte colombiano de la Colección del Museo de Arte Moderno La Tertulia 1983*1983,Miguel González,1983
ex.273,c.111,Dibujos de Ficciones*1983,Miguel González,1983
ex.282,c.111,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Miguel González,1984
ex.285,c.111,Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Miguel González,1984
ex.293,c.72,Joyas-sorpresa: el Uso de Materiales Alternativos en la Joyería Norte-americana*1984,Intituto Smithsonian de EE.UU.,1984
