"","source","target","id_expo","nombre_expo_order_ano","ano","fecha_ini","ano_decimal"
"1","Julio Abril","Alejandro Obregón",4,"4-Obras de Alejandro Obregón-1956",1956,1956-06-14,1956.45081967213
"2","Jaime Soto","Lucy Tejada",6,"6-Exposición de Lucy Tejada 1956-1956",1956,1956-10-05,1956.75956284153
"3","Alfonso Bonilla Aragón","Mireya Zawadzki",7,"7-Temas de Boca-Grande-1956",1956,1956-10-19,1956.79781420765
"4","Emma Alder de Gamboa","Alejandro Obregón",8,"8-Óleos y témperas de Alejandro Obregón-1956",1956,1956-10-26,1956.81693989071
"5","Octavio Gamboa","Yesid Montaña",10,"10-Yesid Montaña-1956",1956,1956-11-16,1956.87431693989
"6","Enrique Buenaventura","Hernando Tejada",11,"11-Acuarelas de Hernando Tejada y María Teresa de Patiño-1956",1956,1956-11-27,1956.9043715847
"7","Enrique Buenaventura","María Teresa de Patiño",11,"11-Acuarelas de Hernando Tejada y María Teresa de Patiño-1956",1956,1956-11-27,1956.9043715847
"8","Gustavo Camargo","Jorge Elías Triana",12,"12-Jorge Elías Triana-1956",1956,1956-12-13,1956.94808743169
"9","Néstor Sanclemente","Carlos Correa",13,"13-Carlos Correa-1957",1957,1957-03-01,1957.16164383562
"10","Carlos Garcés Córdoba","Mireya Zawadzki",17,"14-Exposición de Mireya Zawadzky-1957",1957,1957-04-01,1957.24657534247
"11","José María Capdevila","José María Vidal",14,"15-Pintura al Óleo del artista español José María Vidal-1957",1957,1957-04-06,1957.2602739726
"12","Óscar Gerardo Ramos","Mona Mondineu",15,"16-Exposición de vitrales de Mona Mondineu-1957",1957,1957-06-14,1957.44931506849
"13","Carlos Garcés Córdoba","Lucy Tejada",16,"17-Jornadas de Mayo-1957",1957,1957-07-15,1957.53424657534
"14","Carlos Garcés Córdoba","Mireya Zawadzki",16,"17-Jornadas de Mayo-1957",1957,1957-07-15,1957.53424657534
"15","Carlos Garcés Córdoba","Hernán Muñoz",16,"17-Jornadas de Mayo-1957",1957,1957-07-15,1957.53424657534
"16","Carlos Garcés Córdoba","Alfonso Vinasco",16,"17-Jornadas de Mayo-1957",1957,1957-07-15,1957.53424657534
"17","Carlos Garcés Córdoba","Mario Roldán",16,"17-Jornadas de Mayo-1957",1957,1957-07-15,1957.53424657534
"18","Carlos Garcés Córdoba","Hernando Tejada",16,"17-Jornadas de Mayo-1957",1957,1957-07-15,1957.53424657534
"19","Carlos Garcés Córdoba","Carlos Ruiz",16,"17-Jornadas de Mayo-1957",1957,1957-07-15,1957.53424657534
"20","Carlos Garcés Córdoba","Julio Abril",16,"17-Jornadas de Mayo-1957",1957,1957-07-15,1957.53424657534
"21","Carlos Garcés Córdoba","Hernando Salazar",16,"17-Jornadas de Mayo-1957",1957,1957-07-15,1957.53424657534
"22","José María Vivas Balcázar","Carlos Rojas",18,"18-Pintura abstracta de Carlos Rojas-1957",1957,1957-11-05,1957.84383561644
"23","Alba Inés Vivas","Ómar Rayo",19,"19-Pinturas de Ómar Rayo-1957",1957,1957-11-20,1957.88493150685
"24","Lucy Morales","Dicken Castro",20,"20-Acuarelas de Dicken Castro y cerámica Lucy Tejada-1957",1957,1957-12-06,1957.92876712329
"25","Lucy Morales","Lucy Tejada",20,"20-Acuarelas de Dicken Castro y cerámica Lucy Tejada-1957",1957,1957-12-06,1957.92876712329
"26","Mireya Zawadzki","José de Rokha",21,"21-José de Rokha-1958",1958,1958-02-07,1958.10136986301
"27","Óscar Gerardo Ramos","José Luis de Figueroa",24,"24-José Luis de Figueroa-1958",1958,1958-06-19,1958.46301369863
"28","Enrique Buenaventura","Aníbal Gil",25,"25-Aníbal Gil-1958",1958,1958-07-01,1958.49589041096
"29","Nicolás Buenaventura","Carlos Ruiz",28,"28-Carlos Ruiz-1958",1958,1958-11-28,1958.90684931507
"30","Álvaro Navia Monedero","Lucy Tejada",31,"31-Lucy Tejada y María Thereza Negreiros-1958",1958,1958-12-19,1958.96438356164
"31","Álvaro Navia Monedero","María Thereza Negreiros",31,"31-Lucy Tejada y María Thereza Negreiros-1958",1958,1958-12-19,1958.96438356164
"32","Libardo Lozano G.","Lucy Tejada",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"33","Libardo Lozano G.","Emilia Uribe de Mejía",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"34","Libardo Lozano G.","María Thereza de patiño",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"35","Libardo Lozano G.","David Manzur",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"36","Libardo Lozano G.","Hernando Tejada",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"37","Libardo Lozano G.","Leandro Velasco",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"38","Libardo Lozano G.","Adriano Moreno",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"39","Libardo Lozano G.","José Luis de Figueroa",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"40","Libardo Lozano G.","Fritz Seifert",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"41","Libardo Lozano G.","",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28,1960.32240437158
"42","Sacerdote Sendoya","Elio Berhanyer",49,"50-Elio Berhanyer-1960",1960,1960-12-29,1960.99180327869
