"","agente","rol"
"1","Alejandro Obregón","artista"
"2","Lucy Tejada","artista"
"3","Mireya Zawadzki","presentador-artista"
"4","Yesid Montaña","artista"
"5","Hernando Tejada","artista"
"6","María Teresa de Patiño","artista"
"7","Jorge Elías Triana","artista"
"8","Carlos Correa","artista"
"9","José María Vidal","artista"
"10","Mona Mondineu","artista"
"11","Hernán Muñoz","artista"
"12","Alfonso Vinasco","artista"
"13","Mario Roldán","artista"
"14","Carlos Ruiz","artista"
"15","Julio Abril","presentador-artista"
"16","Hernando Salazar","artista"
"17","Carlos Rojas","artista"
"18","Ómar Rayo","artista"
"19","Dicken Castro","artista"
"20","José de Rokha","artista"
"21","José Luis de Figueroa","artista"
"22","Aníbal Gil","artista"
"23","María Thereza Negreiros","artista"
"24","Emilia Uribe de Mejía","artista"
"25","María Thereza de patiño","artista"
"26","David Manzur","artista"
"27","Leandro Velasco","artista"
"28","Adriano Moreno","artista"
"29","Fritz Seifert","artista"
"30","","artista"
"31","Elio Berhanyer","artista"
"32","Saúl Balagura","artista"
"33","Eduardo Mac Entyre","artista"
"34","Leonel Góngora","artista"
"35","Yutaka Toyota","artista"
"36","María de la Paz Jaramillo","curador-artista"
"37","Aloysio Magalhaes","artista"
"38","Anna Bella Geiger","artista"
"39","Anna Letycia Quadros","artista"
"40","Anna María Maiolino","artista"
"41","Arcangelo Ianelli","artista"
"42","Darel Valenca","artista"
"43","Eduardo Cruz","artista"
"44","Iazid Thame","artista"
"45","Ivan Freitas","artista"
"46","Leda Watson","artista"
"47","Luiz Aquila da Rocha","artista"
"48","Márcia Barrozo do Amaral","artista"
"49","María do Carmo Secco","artista"
"50","Maia Lúcia Luz","artista"
"51","María Tomaselli Cirne","artista"
"52","Marília Rodrigues","artista"
"53","Osmar Fonseca","artista"
"54","Paulo Roberto Leal","artista"
"55","Roberto Aguilar","artista"
"56","Roberto De Lamonica","artista"
"57","Rogério Luz","artista"
"58","Tancredo De Araújo","artista"
"59","Thereza Miranda","artista"
"60","Thomaz Ianelli","artista"
"61","Tomie Ohtake","artista"
"62","Vera Chaves Barcellos","artista"
"63","Vinicio Horta","artista"
"64","Wanda Pimentel","artista"
"65","Jairo Téllez","artista"
"66","Édgar Álvarez","artista"
"67","Óscar Muñoz","curador-artista"
"68","Beatriz González","artista"
"69","Alfredo Guerrero","artista"
"70","Sara Modiano","artista"
"71","Homero Aguilar","artista"
"72","John Thomas Biggers","artista"
"73","Camille Billops","artista"
"74","Robert Blackburn","artista"
"75","Caroline M Byard","artista"
"76","Eldzier Cortor","artista"
"77","Juanit Cribb","artista"
"78","Allan Edmunds","artista"
"79","David Hammons","artista"
"80","Bill Harris","artista"
"81","Leo NathanielHicks","artista"
"82","Barbara Jones","artista"
"83","Wiston Kennedy","artista"
"84","Talita Long","artista"
"85","Percy Martin","artista"
"86","Valerie Maynard","artista"
"87","Lloyd McNeill","artista"
"88","Otto Neals","artista"
"89","Nefertiti","artista"
"90","James E. Newton","artista"
"91","Stephanie E. Pogue","artista"
"92","Joseph Ross Jr.","artista"
"93","John Scott","artista"
"94","George Smith","artista"
"95","Lou Stovall","artista"
"96","James Wells","artista"
"97","Charles White","artista"
"98","Wendy Wilson","artista"
"99","John Michael Armleder","artista"
"100","Anton Bruhin","artista"
"101","Luciano Castelli","artista"
"102","Bignia Corradini","artista"
"103","Martin Disler","artista"
"104","Markus Dulk","artista"
"105","Maríanne Eigenheer","artista"
"106","Helmut Federle","artista"
"107","Pierre Keller","curador-artista"
"108","Heiner Kielholz","artista"
"109","Lis Kocher","artista"
"110","Urs Luthi","artista"
"111","Chasper Otto Melcher","artista"
"112","Markus Raetz","artista"
"113","Claude Sandoz","artista"
"114","Alex Silber","artista"
"115","Urs Stoss","artista"
"116","Hanna Villiger","artista"
"117","Rolf Winnewiser","artista"
"118","René Zäch","artista"
"119","David Becker","artista"
"120","Juan Fresan","artista"
"121","Susy Iglicki","artista"
"122","Mario Toral","artista"
"123","Ricardo Gómez Campuzano","artista"
"124","José Domingo Rodríguez","artista"
"125","Rómulo Rozo","artista"
"126","Luis Alberto Acuña","artista"
"127","Ignacio Gómez Jaramillo","artista"
"128","Sergio Trujillo Magnenat","artista"
"129","Gonzalo Ariza","artista"
"130","Alipio Jaramillo","artista"
"131","Ramón Barba","artista"
"132","Rosa de Viterbo","artista"
"133","Pedro Nel Gómez","artista"
"134","Robert Kipniss","artista"
"135","Will Barnet","artista"
"136","Warrington Colescott","artista"
"137","Kenjilao Nanao","artista"
"138","Adolfo Bernal","artista"
"139","Javier Barrios","artista"
"140","Alicia Barney","artista"
"141","Antonio Caro","artista"
"142","Rodrigo Castaño","artista"
"143","Fernando Cepeda","artista"
"144","Ramiro Gómez","artista"
"145","Luis Fernando García","artista"
"146","Álvaro Herazo","artista"
"147","Eduardo Hernández","artista"
"148","Raúl Marroquín","artista"
"149","Geo Ripley","artista"
"150","María Rodríguez","artista"
"151","Jorge Ortiz","artista"
"152","Víctor Sánchez","artista"
"153","Argemiro Vélez","artista"
"154","Jorge Mario Gómez","artista"
"155","Patricia Gómez","artista"
"156","Fabio Antonio Ramírez","artista"
"157","Pedro Alcántara Herrán","artista"
"158","Marta Lacorazza","artista"
"159","Jorge Drosten","artista"
"160","Julián Castellanos","artista"
"161","Becky Mayer","artista"
"162","Patricia Bonilla","artista"
"163","Julián Posada","artista"
"164","Beatriz Jaramillo","artista"
"165","Camilo Velásquez","artista"
"166","Ary Brizzi","artista"
"167","Geny Dignac","artista"
"168","Julio Le Parc","artista"
"169","Gabriel Messil","artista"
"170","Rogelio Polesello","artista"
"171","Carlos Cruz-Diez","artista"
"172","Gertrud Goldschmidt","artista"
"173","Mateo Manaure","artista"
"174","Alejandro Otero","artista"
"175","Jesús Soto","artista"
"176","Víctor Varela","artista"
"177","Carmen Aldunate","artista"
"178","José Bartoli","artista"
"179","Feliciano Bejar","artista"
"180","Leonora Carrington","artista"
"181","Alfredo Castañeda","artista"
"182","Arnaldo Coen","artista"
"183","Pedro Coronel","artista"
"184","Rafael Coronel","artista"
"185","Francisco Corzas","artista"
"186","José Luis Cuevas","artista"
"187","Roberto Donis","artista"
"188","Helen Escobedo","artista"
"189","Manuel Felguérez","artista"
"190","Pedro Friedeberg","artista"
"191","Fernando García Ponce","artista"
"192","Alberto Gironella","artista"
"193","Mathias Goeritz","artista"
"194","Luis López Loza","artista"
"195","Teodoro Maoz","artista"
"196","Jesús Martínez","artista"
"197","Ignacio Miranda","artista"
"198","Brian Nissen","artista"
"199","Emilio Ortiz","artista"
"200","Antonio Peláez","artista"
"201","José Guadalupe Posada","artista"
"202","Ricardo Rocha","artista"
"203","Vicente Rojo","artista"
"204","Nunik Sauret","artista"
"205","David Alfaro Siqueiros","artista"
"206","Juan Soriano","artista"
"207","Rufino Tamayo","artista"
"208","Francisco Toledo","artista"
"209","Francisco Zúñiga","artista"
"210","Ever Astudillo","artista"
"211","Antonio Barrera","artista"
"212","Santiago Cárdenas","artista"
"213","Gregorio Cuartas","artista"
"214","Óscar Jaramillo","artista"
"215","Darío Morales","artista"
"216","Saturnino Ramírez","artista"
"217","Javier Restrepo","artista"
"218","Miguel Ángel Rojas","curador-artista"
"219","Mariana Varela","artista"
