curador,artista,expo,ano
Instituto de Cultura Puertoriqueño,Varios,Exposición de figuras artesanales de santos primitivos y de grabados de Henández Cruz*1971,1971
Marc Berkowitz,Aloysio Magalhaes,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Anna Bella Geiger,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Anna Letycia Quadros,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Anna María Maiolino,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Arcangelo Ianelli,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Darel Valenca,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Eduardo Cruz,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Iazid Thame,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Ivan Freitas,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Leda Watson,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Luiz Aquila da Rocha,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Márcia Barrozo do Amaral,28 Artistas del Brasil*1975,1975
Marc Berkowitz,María do Carmo Secco,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Maia Lúcia Luz,28 Artistas del Brasil*1975,1975
Marc Berkowitz,María Tomaselli Cirne,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Marília Rodrigues,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Osmar Fonseca,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Paulo Roberto Leal,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Roberto Aguilar,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Roberto De Lamonica,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Rogério Luz,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Tancredo De Araújo,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Thereza Miranda,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Thomaz Ianelli,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Tomie Ohtake,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Vera Chaves Barcellos,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Vinicio Horta,28 Artistas del Brasil*1975,1975
Marc Berkowitz,Wanda Pimentel,28 Artistas del Brasil*1975,1975
Sergio Trujillo Jaramillo,Jairo Téllez,XXV Salón Nacional de Artes Visuales*1975,1975
Sergio Trujillo Jaramillo,Edgar Álvarez,XXV Salón Nacional de Artes Visuales*1975,1975
Sergio Trujillo Jaramillo,María de la Paz Jaramillo,XXV Salón Nacional de Artes Visuales*1975,1975
Sergio Trujillo Jaramillo,Óscar Muñoz,XXV Salón Nacional de Artes Visuales*1975,1975
Sergio Trujillo Jaramillo,Beatriz González,XXV Salón Nacional de Artes Visuales*1975,1975
Sergio Trujillo Jaramillo,Alfredo Guerrero,XXV Salón Nacional de Artes Visuales*1975,1975
Sergio Trujillo Jaramillo,Sara Modiano,XXV Salón Nacional de Artes Visuales*1975,1975
Sergio Trujillo Jaramillo,Homero Aguilar,XXV Salón Nacional de Artes Visuales*1975,1975
Ed Love,John Thomas Biggers,Migraciones*1976,1976
Ed Love,Camille Billops,Migraciones*1976,1976
Ed Love,Robert Blackburn,Migraciones*1976,1976
Ed Love,Caroline M Byard,Migraciones*1976,1976
Ed Love,Eldzier Cortor,Migraciones*1976,1976
Ed Love,Juanit Cribb,Migraciones*1976,1976
Ed Love,Allan Edmunds,Migraciones*1976,1976
Ed Love,David Hammons,Migraciones*1976,1976
Ed Love,Bill Harris,Migraciones*1976,1976
Ed Love,Leo NathanielHicks,Migraciones*1976,1976
Ed Love,Barbara Jones,Migraciones*1976,1976
Ed Love,Wiston Kennedy,Migraciones*1976,1976
Ed Love,Talita Long,Migraciones*1976,1976
Ed Love,Percy Martin,Migraciones*1976,1976
Ed Love,Valerie Maynard,Migraciones*1976,1976
Ed Love,Lloyd McNeill,Migraciones*1976,1976
Ed Love,Otto Neals,Migraciones*1976,1976
Ed Love,Nefertiti,Migraciones*1976,1976
Ed Love,James E. Newton,Migraciones*1976,1976
Ed Love,Stephanie E. Pogue,Migraciones*1976,1976
Ed Love,Joseph Ross Jr.,Migraciones*1976,1976
Ed Love,John Scott,Migraciones*1976,1976
Ed Love,George Smith,Migraciones*1976,1976
Ed Love,Lou Stovall,Migraciones*1976,1976
Ed Love,James Wells,Migraciones*1976,1976
Ed Love,Charles White,Migraciones*1976,1976
Ed Love,Wendy Wilson,Migraciones*1976,1976
Winston Kennedy,John Thomas Biggers,Migraciones*1976,1976
Winston Kennedy,Camille Billops,Migraciones*1976,1976
Winston Kennedy,Robert Blackburn,Migraciones*1976,1976
Winston Kennedy,Caroline M Byard,Migraciones*1976,1976
Winston Kennedy,Eldzier Cortor,Migraciones*1976,1976
Winston Kennedy,Juanit Cribb,Migraciones*1976,1976
Winston Kennedy,Allan Edmunds,Migraciones*1976,1976
Winston Kennedy,David Hammons,Migraciones*1976,1976
Winston Kennedy,Bill Harris,Migraciones*1976,1976
Winston Kennedy,Leo NathanielHicks,Migraciones*1976,1976
Winston Kennedy,Barbara Jones,Migraciones*1976,1976
Winston Kennedy,Wiston Kennedy,Migraciones*1976,1976
Winston Kennedy,Talita Long,Migraciones*1976,1976
Winston Kennedy,Percy Martin,Migraciones*1976,1976
Winston Kennedy,Valerie Maynard,Migraciones*1976,1976
Winston Kennedy,Lloyd McNeill,Migraciones*1976,1976
Winston Kennedy,Otto Neals,Migraciones*1976,1976
Winston Kennedy,Nefertiti,Migraciones*1976,1976
Winston Kennedy,James E. Newton,Migraciones*1976,1976
Winston Kennedy,Stephanie E. Pogue,Migraciones*1976,1976
Winston Kennedy,Joseph Ross Jr.,Migraciones*1976,1976
Winston Kennedy,John Scott,Migraciones*1976,1976
Winston Kennedy,George Smith,Migraciones*1976,1976
Winston Kennedy,Lou Stovall,Migraciones*1976,1976
Winston Kennedy,James Wells,Migraciones*1976,1976
Winston Kennedy,Charles White,Migraciones*1976,1976
Winston Kennedy,Wendy Wilson,Migraciones*1976,1976
George Smiths,John Thomas Biggers,Migraciones*1976,1976
George Smiths,Camille Billops,Migraciones*1976,1976
George Smiths,Robert Blackburn,Migraciones*1976,1976
George Smiths,Caroline M Byard,Migraciones*1976,1976
George Smiths,Eldzier Cortor,Migraciones*1976,1976
George Smiths,Juanit Cribb,Migraciones*1976,1976
George Smiths,Allan Edmunds,Migraciones*1976,1976
George Smiths,David Hammons,Migraciones*1976,1976
George Smiths,Bill Harris,Migraciones*1976,1976
George Smiths,Leo NathanielHicks,Migraciones*1976,1976
George Smiths,Barbara Jones,Migraciones*1976,1976
George Smiths,Wiston Kennedy,Migraciones*1976,1976
George Smiths,Talita Long,Migraciones*1976,1976
George Smiths,Percy Martin,Migraciones*1976,1976
George Smiths,Valerie Maynard,Migraciones*1976,1976
George Smiths,Lloyd McNeill,Migraciones*1976,1976
George Smiths,Otto Neals,Migraciones*1976,1976
George Smiths,Nefertiti,Migraciones*1976,1976
George Smiths,James E. Newton,Migraciones*1976,1976
George Smiths,Stephanie E. Pogue,Migraciones*1976,1976
George Smiths,Joseph Ross Jr.,Migraciones*1976,1976
George Smiths,John Scott,Migraciones*1976,1976
George Smiths,George Smith,Migraciones*1976,1976
George Smiths,Lou Stovall,Migraciones*1976,1976
George Smiths,James Wells,Migraciones*1976,1976
George Smiths,Charles White,Migraciones*1976,1976
George Smiths,Wendy Wilson,Migraciones*1976,1976
Willim Harris,John Thomas Biggers,Migraciones*1976,1976
Willim Harris,Camille Billops,Migraciones*1976,1976
Willim Harris,Robert Blackburn,Migraciones*1976,1976
Willim Harris,Caroline M Byard,Migraciones*1976,1976
Willim Harris,Eldzier Cortor,Migraciones*1976,1976
Willim Harris,Juanit Cribb,Migraciones*1976,1976
Willim Harris,Allan Edmunds,Migraciones*1976,1976
Willim Harris,David Hammons,Migraciones*1976,1976
Willim Harris,Bill Harris,Migraciones*1976,1976
Willim Harris,Leo NathanielHicks,Migraciones*1976,1976
Willim Harris,Barbara Jones,Migraciones*1976,1976
Willim Harris,Wiston Kennedy,Migraciones*1976,1976
Willim Harris,Talita Long,Migraciones*1976,1976
Willim Harris,Percy Martin,Migraciones*1976,1976
Willim Harris,Valerie Maynard,Migraciones*1976,1976
Willim Harris,Lloyd McNeill,Migraciones*1976,1976
Willim Harris,Otto Neals,Migraciones*1976,1976
Willim Harris,Nefertiti,Migraciones*1976,1976
Willim Harris,James E. Newton,Migraciones*1976,1976
Willim Harris,Stephanie E. Pogue,Migraciones*1976,1976
Willim Harris,Joseph Ross Jr.,Migraciones*1976,1976
Willim Harris,John Scott,Migraciones*1976,1976
Willim Harris,George Smith,Migraciones*1976,1976
Willim Harris,Lou Stovall,Migraciones*1976,1976
Willim Harris,James Wells,Migraciones*1976,1976
Willim Harris,Charles White,Migraciones*1976,1976
Willim Harris,Wendy Wilson,Migraciones*1976,1976
Acklyn Lynch,John Thomas Biggers,Migraciones*1976,1976
Acklyn Lynch,Camille Billops,Migraciones*1976,1976
Acklyn Lynch,Robert Blackburn,Migraciones*1976,1976
Acklyn Lynch,Caroline M Byard,Migraciones*1976,1976
Acklyn Lynch,Eldzier Cortor,Migraciones*1976,1976
Acklyn Lynch,Juanit Cribb,Migraciones*1976,1976
Acklyn Lynch,Allan Edmunds,Migraciones*1976,1976
Acklyn Lynch,David Hammons,Migraciones*1976,1976
Acklyn Lynch,Bill Harris,Migraciones*1976,1976
Acklyn Lynch,Leo NathanielHicks,Migraciones*1976,1976
Acklyn Lynch,Barbara Jones,Migraciones*1976,1976
Acklyn Lynch,Wiston Kennedy,Migraciones*1976,1976
Acklyn Lynch,Talita Long,Migraciones*1976,1976
Acklyn Lynch,Percy Martin,Migraciones*1976,1976
Acklyn Lynch,Valerie Maynard,Migraciones*1976,1976
Acklyn Lynch,Lloyd McNeill,Migraciones*1976,1976
Acklyn Lynch,Otto Neals,Migraciones*1976,1976
Acklyn Lynch,Nefertiti,Migraciones*1976,1976
Acklyn Lynch,James E. Newton,Migraciones*1976,1976
Acklyn Lynch,Stephanie E. Pogue,Migraciones*1976,1976
Acklyn Lynch,Joseph Ross Jr.,Migraciones*1976,1976
Acklyn Lynch,John Scott,Migraciones*1976,1976
Acklyn Lynch,George Smith,Migraciones*1976,1976
Acklyn Lynch,Lou Stovall,Migraciones*1976,1976
Acklyn Lynch,James Wells,Migraciones*1976,1976
Acklyn Lynch,Charles White,Migraciones*1976,1976
Acklyn Lynch,Wendy Wilson,Migraciones*1976,1976
Pierre Keller,John Michael Armleder,20 Artistas Jóvenes Suizos*1977,1977
Pierre Keller,Anton Bruhin,20 Artistas Jóvenes Suizos*1977,1977
Pierre Keller,Luciano Castelli,20 Artistas Jóvenes Suizos*1977,1977
Pierre Keller,Bignia Corradini,20 Artistas Jóvenes Suizos*1977,1977
Pierre Keller,Martin Disler,20 Artistas Jóvenes Suizos*1977,1977
