nombre_curador,id_curador,tipo,id_persona,id_organizacion
María de la Paz Jaramillo,100,persona,5,#N/A
Álvaro Barrios,8,persona,8,#N/A
Óscar Muñoz,119,persona,14,#N/A
Miguel Ángel Rojas,110,persona,43,#N/A
José Horacio Martínez,83,persona,114,#N/A
Lucas Ospina,94,persona,173,#N/A
Leonardo Herrera,93,persona,176,#N/A
Elías Heim,44,persona,203,#N/A
Ana Tiscornia,12,persona,224,#N/A
Pierre Keller,125,persona,315,#N/A
Juan Mejía,87,persona,435,#N/A
Alberto Sierra,6,persona,690,#N/A
Wilson Díaz,144,persona,714,#N/A
Bernardo Ortiz,22,persona,2036,#N/A
Andrés Fresneda,14,persona,2103,#N/A
Álvaro Medina,9,persona,2122,#N/A
José Alejandro Restrepo,82,persona,2349,#N/A
Juan Pablo Fajardo,88,persona,2388,#N/A
Sergio Trujillo Jaramillo,133,persona,2523,#N/A
Soffy Arboleda de Vega,134,persona,2547,#N/A
María Sol Barón,106,persona,2550,#N/A
Camilo Ordóñez Robayo,24,persona,2551,#N/A
Breyner Huertas,23,persona,2621,#N/A
Carlos Tamayo,31,persona,2641,#N/A
Éricka Flórez,46,persona,2708,#N/A
Herlyng Ferla,68,persona,2790,#N/A
Hermann Yusty,69,persona,2791,#N/A
Luis Ricaurte,96,persona,2924,#N/A
Yolanda Chois,147,persona,3138,#N/A
Circular presents :Daniel Tejada & Sergio Zapata & David León & Adrián Gaitán,35,colectivo,3145,#N/A
Helena Producciones,67,colectivo,3146,#N/A
Un Lugar de la Plastica,137,colectivo,3147,#N/A
Asociación Francesa de Acción Artística,19,organizacion,#N/A,1
Cinemateca de Berlín,34,organizacion,#N/A,2
Departamento de Artes Visuales del Ministerio de Cultura,38,organizacion,#N/A,3
Dirección de Patrimonio del Ministerio de Cultura,40,organizacion,#N/A,4
Doc Desing,41,organizacion,#N/A,5
Escuela Especial de Arquitectura/ESAP,47,organizacion,#N/A,6
Exposición realizada en el marco de PhotoCali 2007,49,organizacion,#N/A,7
Fundación MAPFRE,54,organizacion,#N/A,8
Fundación Rogelio Salmona,55,organizacion,#N/A,9
Galería de Francony de París,56,organizacion,#N/A,10
Galería Deimos de Bogotá,57,organizacion,#N/A,11
Instituto de Cultura Puertoriqueño,70,organizacion,#N/A,12
Instituto Tamarind de EE.UU.,71,organizacion,#N/A,13
Intituto Smithsonian de EE.UU.,72,organizacion,#N/A,14
Museo Beth Hatefutsoth,113,organizacion,#N/A,15
Museo de Francia,114,organizacion,#N/A,16
Museo Nacional de Ciencia y Tecnología de Canadá,115,organizacion,#N/A,17
Museo Nacional de Colombia,116,organizacion,#N/A,18
Propal S.A.,127,organizacion,#N/A,19
Abraham Restrepo,1,persona,3148,#N/A
Acklyn Lynch,2,persona,3149,#N/A
Alberto Moreno,3,persona,3150,#N/A
Alberto Pérez,4,persona,3151,#N/A
Alberto Quiroga,5,persona,3152,#N/A
Alejandro Martín Maldonado,7,persona,3153,#N/A
Ana María Lozano,10,persona,3154,#N/A
Ana Sokoloff,11,persona,3155,#N/A
Andrés Casanova,13,persona,3156,#N/A
Andrés Pardo,15,persona,3157,#N/A
