id_obra,cod_registro,nombre_artista_registro_std,id_persona,titulo_obra,descripcion_textual,clas_espacial,dim_text_MLT,num_piezas,diametro,ancho_d1,largo_d2,alto_d3,area_pieza,volumen_pieza,area_obra,volumen_obra,ano_creacion,ano_adquisicion,info_reproduccion,copia_unica,tecnica_registrada_MLT,tecnicas_GCAI,materiales,movimiento_artistico,id_imagen_web,id_imagen_mini,observaciones_obras
148,2183,Emma Reyes,1,Sin título,,bidimensional,102 x 71.5,,,102.00,71.50,,7293,0,7293,0,1982,,,verificar,Tinta sobre papel,,,,,,
263,2312,Emma Reyes,1,La ciudad del circulo y el cuadrado,,bidimensional,123 x 92.5,,,123.00,92.50,,11377.5,0,11377.5,0,1968,,,verificar,"Madera, Mixta",,,,,,
352,2422,Emma Reyes,1,Serie: máscaras -café-gris,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1990,,,verificar,Tintas,,,,,,
353,2423,Emma Reyes,1,Serie: máscaras -azul-verde,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1989,,,verificar,Tintas,,,,,,
354,2424,Emma Reyes,1,Serie: máscaras -gris-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1992,,,verificar,Tintas,,,,,,
355,2425,Emma Reyes,1,Serie: máscaras -rojo-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1989,,,verificar,Tintas,,,,,,
356,2426,Emma Reyes,1,Serie: máscaras -azul/negro,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,,,,verificar,Tintas,,,,,,
357,2427,Emma Reyes,1,Serie: máscaras -verde-,,bidimensional,29x21,,,29.00,21.00,,609,0,609,0,,,,verificar,Tintas,,,,,,
358,2428,Emma Reyes,1,Serie: máscaras -negro-blanco,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1983,,,verificar,Tintas,,,,,,
359,2429,Emma Reyes,1,Serie: máscaras -marrón-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1992,,,verificar,Tintas,,,,,,
360,2430,Emma Reyes,1,Serie: máscaras -verde/azul-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1990,,,verificar,Tintas,,,,,,
361,2431,Emma Reyes,1,Serie: máscaras -rojo/gris-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1989,,,verificar,Tintas,,,,,,
362,2432,Emma Reyes,1,Serie: máscaras -rojo-azul-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1992,,,verificar,Tintas,,,,,,
363,2433,Emma Reyes,1,Serie: máscaras -rojo-lila-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1992,,,verificar,Tintas,,,,,,
364,2434,Emma Reyes,1,Serie: máscaras -azul/blanco-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1989,,,verificar,Tintas,,,,,,
365,2435,Emma Reyes,1,Serie: máscaras -azul/blanco-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1989,,,verificar,Tintas,,,,,,
366,2436,Emma Reyes,1,Serie: máscaras -rojo/lila-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1992,,,verificar,Tintas,,,,,,
367,2437,Emma Reyes,1,Serie: máscaras -oro/rojo-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1989,,,verificar,Tintas,,,,,,
368,2438,Emma Reyes,1,Serie: máscaras -azul/rosa-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1988,,,verificar,Tintas,,,,,,
369,2439,Emma Reyes,1,Serie: máscaras -negro/blanco-,,bidimensional,31.5 x 23.8,,,31.50,23.80,,749.7,0,749.7,0,1990,,,verificar,Tintas,,,,,,
