id_expo,id_auspiciador,nombre_expo,nombre_auspiciador,ano
ex.2,au.377,"Reproducciones Francesas, impresionistas y modernas*1956",Soffy Arboleda de Vega,1956
ex.19,au.134,Pinturas de Ómar Rayo*1957,Dirección de Bellas Artes y Extensión Cultural del Valle,1957
ex.21,au.134,José de Rokha*1958,Dirección de Bellas Artes y Extensión Cultural del Valle,1958
ex.35,au.134,Leandro Velasco*1959,Dirección de Bellas Artes y Extensión Cultural del Valle,1959
ex.48,au.134,Leandro Velasco*1960,Dirección de Bellas Artes y Extensión Cultural del Valle,1960
ex.52,au.10,Exposición infantil intercolegial*1961,Air France,1961
ex.58,au.258,Emma Reyes*1961,Instituto de Relaciones Culturales Colombo-Israelí,1961
ex.58,au.27,Emma Reyes*1961,Asocaña,1961
ex.63,au.27,"Arboleda, Martínez, Eggen*1961",Asocaña,1961
ex.66,au.48,Pinturas de Armando Villegas y Cerámicas de Alicia Tafur*1962,Belart,1962
ex.73,au.360,Exposición de carteles*1963,Ruly Vargas,1963
ex.73,au.66,Exposición de carteles*1963,Carmen Vargas,1963
ex.78,au.224,Pintura Moderna Ecuatoriana*1964,Galería Siglo XX de Quito,1964
ex.79,au.161,Exposición comparativa de afiches y estadísticas*1964,Empresas norteamericanas,1964
ex.100,au.13,Exposición sobre el libro francés*1966,Alianza Colombo-Francesa,1966
ex.124,au.347,VIII Festival Nacional de Arte - I Salón Austral y Colombiano de Pintura*1968,Presidencia de la República de Colombia,1968
ex.124,au.303,VIII Festival Nacional de Arte - I Salón Austral y Colombiano de Pintura*1968,Ministerio de Relaciones Exteriores,1968
ex.124,au.182,VIII Festival Nacional de Arte - I Salón Austral y Colombiano de Pintura*1968,Festival Nacional de Arte,1968
ex.128,au.298,Arte Virreinal Americano*1968,Mario Laserna,1968
ex.129,au.332,Exposición de artesanía*1968,Oficina de Turismo del Valle del Cauca,1968
ex.130,au.156,Pintura y Grabado Hoy en Venezuela*1968,Embajada de Venezuela,1968
ex.130,au.265,Pintura y Grabado Hoy en Venezuela*1968,Instituto Nacional de Cultura y Bellas Artes,1968
ex.136,au.142,Rogelio Polesello y Lya Kaufman*1969,Embajada de Argentina,1969
ex.136,au.113,Rogelio Polesello y Lya Kaufman*1969,Consulado en Cali,1969
ex.137,au.142,Enrique Grau*1969,Embajada de Argentina,1969
ex.138,au.352,XX Salón de Artistas Nacionales*1969,Propal S.A.,1969
ex.139,au.141,Exposición de arte gráfico alemán contemporáneo *1969,Embajada de Alemania,1969
ex.139,au.109,Exposición de arte gráfico alemán contemporáneo *1969,Concejo Alemán de Bellas Artes,1969
ex.141,au.160,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Empresas Municipales de Cali,1969
ex.141,au.41,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Banco de la República,1969
ex.141,au.40,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Banco de Colombia,1969
ex.141,au.245,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Industria de Licores del Valle,1969
ex.141,au.246,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Ingenio Ingenio Manuelita,1969
ex.141,au.37,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Banco Cafetero,1969
ex.141,au.72,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Ceat General,1969
ex.141,au.286,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Laboratorios JGB,1969
ex.141,au.76,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Central de Anchicayá,1969
ex.141,au.255,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Instituto Colombiano de Seguros Sociales,1969
ex.141,au.50,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Beneficencia del Valle,1969
ex.141,au.256,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Instituto de Crédito Territorial,1969
ex.141,au.101,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Colteger,1969
ex.141,au.73,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Celanese de Colombia,1969
ex.141,au.100,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Colombiana de Esmaltes,1969
ex.141,au.62,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Canada Dry,1969
ex.141,au.370,IX Festival de Arte - Salón de Las Américas de Pintura*1969,SENA,1969
ex.141,au.250,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Ingenio Río Paila,1969
ex.141,au.178,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Ferrocarriles Nacionales,1969
ex.141,au.175,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Federación Nacional de Cafeteros,1969
ex.141,au.68,IX Festival de Arte - Salón de Las Américas de Pintura*1969,Carvajal,1969
