id_expo,id_obra,nombre_expo,nombre_obra,ano
ex.67,o.3955,Óscar Pantoja*1962,Pintura*Óscar Pantoja*1962,1962
ex.75,o.3908,Herrán - Pinturas*1963,El aleph*Álvaro Herrán*1960,1963
ex.77,o.2152,XV Salón de Artistas Colombianos*1963,Pájaro romántico*Pedro Alcántara Herrán*1963,1963
ex.97,o.2404,Beatriz González*1965,Niña Johnson I*Beatriz González*1965,1965
ex.166,o.2114,Diez Años de Arte Colombiano*1971,El martirio agiganta a los hombres-raíz*Pedro Alcántara Herrán*1966,1971
ex.166,o.3202,Diez Años de Arte Colombiano*1971,El enroscamiento de la plata sangrante*Álvaro Barrios*1974,1971
ex.166,o.3036,Diez Años de Arte Colombiano*1971,Histerica*Feliza Bursztyn*1979,1971
ex.166,o.2110,Diez Años de Arte Colombiano*1971,Sin título*Luis Caballero*1968,1971
ex.166,o.3910,Diez Años de Arte Colombiano*1971,Dos espacios en equilibrio*David Manzur*1969,1971
ex.166,o.3915,Diez Años de Arte Colombiano*1971,Arrebol*Ómar Rayo*1969,1971
ex.166,o.2303,Diez Años de Arte Colombiano*1971,Cajas*Bernardo Salcedo*1969,1971
ex.166,o.2305,Diez Años de Arte Colombiano*1971,Teresa la mujer mesa*Hernando Tejada*1970,1971
ex.166,o.3922,Diez Años de Arte Colombiano*1971,Color de rosa*Lucy Tejada*1968,1971
ex.167,o.2503,Grabados de Peter Milton*1972,Return*Peter Milton*1969,1972
ex.167,o.2502,Grabados de Peter Milton*1972,Morning with judd*Peter Milton*1968,1972
ex.167,o.2504,Grabados de Peter Milton*1972,"De la serie: THE JOLLY CORNER SUITE, III:1*Peter Milton*1971",1972
ex.167,o.3545,Grabados de Peter Milton*1972,"Parade, IIstage*Peter Milton*1967",1972
ex.167,o.2853,Grabados de Peter Milton*1972,Passage III*Peter Milton*1972,1972
ex.168,o.3916,La Constante Geométrica en la Obra de Ómar Rayo*1972,Catío *Ómar Rayo*1970,1972
ex.168,o.2105,La Constante Geométrica en la Obra de Ómar Rayo*1972,La bandera baila blanca*Ómar Rayo*1969,1972
