id_expo,id_agente,nombre_expo,snombre_agente,ano
ex.3,a.621,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Carlos Correa,1956
ex.3,a.1334,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Julio Abril,1956
ex.3,a.23,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Hernando Tejada,1956
ex.3,a.1024,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Pablo Gálvez,1956
ex.3,a.1228,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Luis Aragón,1956
ex.3,a.2331,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Jesus María Espinoza,1956
ex.3,a.1178,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Mario Rojas,1956
ex.3,a.1558,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Héctor Labrada,1956
ex.3,a.1094,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Mireya Zawadzki,1956
ex.3,a.2465,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Maruja de Rengifo,1956
ex.3,a.2259,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Daniel Romero Lozano,1956
ex.3,a.2089,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Antonio Ramírez,1956
ex.3,a.1497,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Iván González,1956
ex.3,a.868,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Rosita Carvajal,1956
ex.3,a.2214,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Ana de Gamboa,1956
ex.3,a.1533,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,Hernán Muñoz,1956
ex.4,a.41,Obras de Alejandro Obregón*1956,Alejandro Obregón,1956
ex.6,a.17,Exposición de Lucy Tejada 1956*1956,Lucy Tejada,1956
ex.7,a.1094,Temas de Boca-Grande*1956,Mireya Zawadzki,1956
ex.8,a.41,Óleos y témperas de Alejandro Obregón*1956,Alejandro Obregón,1956
ex.10,a.704,Yesid Montaña*1956,Yesid Montaña,1956
ex.11,a.23,Acuarelas de Hernando Tejada y María Teresa de Patiño*1956,Hernando Tejada,1956
