nombre_s,tipo_s,nombre_t,tipo_t,ano
28 Artistas del Brasil - 1975,expo,Anna Bella Geiger,artista,1975
28 Artistas del Brasil - 1975,expo,Anna Letycia Quadros,artista,1975
28 Artistas del Brasil - 1975,expo,Arcangelo Ianelli,artista,1975
28 Artistas del Brasil - 1975,expo,Iazid Thame,artista,1975
28 Artistas del Brasil - 1975,expo,Roberto De Lamonica,artista,1975
28 Artistas del Brasil - 1975,expo,Tancredo De Araújo,artista,1975
XXV Salón Nacional de Artes Visuales - 1975,expo,Beatriz González,artista,1975
XXV Salón Nacional de Artes Visuales - 1975,expo,Alfredo Guerrero,artista,1975
XXV Salón Nacional de Artes Visuales - 1975,expo,Homero Aguilar,artista,1975
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Édgar Álvarez,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,David Becker,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Juan Fresan,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Susy Iglicki,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Lucy Tejada,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Mario Toral,artista,1977
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Ricardo Gómez Campuzano,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Rómulo Rozo,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Ignacio Gómez Jaramillo,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Carlos Correa,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Gonzalo Ariza,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Pedro Nel Gómez,artista,1978
Grabadores Norteamericanos - 1978,expo,Robert Kipniss,artista,1978
Grabadores Norteamericanos - 1978,expo,Will Barnet,artista,1978
Grabadores Norteamericanos - 1978,expo,Warrington Colescott,artista,1978
Arte de los 80 - 1980,expo,Adolfo Bernal,artista,1980
Arte de los 80 - 1980,expo,Alicia Barney,artista,1980
Arte de los 80 - 1980,expo,Antonio Caro,artista,1980
Arte de los 80 - 1980,expo,Fernando Cepeda,artista,1980
Arte de los 80 - 1980,expo,Geo Ripley,artista,1980
1960–1980 Alcántara - 1980,expo,Pedro Alcántara Herrán,artista,1980
Actitudes Plurales - 1983,expo,Becky Mayer,artista,1983
Actitudes Plurales - 1983,expo,Patricia Bonilla,artista,1983
Actitudes Plurales - 1983,expo,Julián Posada,artista,1983
Actitudes Plurales - 1983,expo,Alicia Barney,artista,1983
Geometría e Ilusión - 1983,expo,Ary Brizzi,artista,1983
Geometría e Ilusión - 1983,expo,Geny Dignac,artista,1983
Geometría e Ilusión - 1983,expo,Julio Le Parc,artista,1983
Geometría e Ilusión - 1983,expo,Eduardo Mac Entyre,artista,1983
Geometría e Ilusión - 1983,expo,Gabriel Messil,artista,1983
Geometría e Ilusión - 1983,expo,Rogelio Polesello,artista,1983
Geometría e Ilusión - 1983,expo,Carlos Cruz-Diez,artista,1983
Geometría e Ilusión - 1983,expo,Gertrud Goldschmidt,artista,1983
Geometría e Ilusión - 1983,expo,Mateo Manaure,artista,1983
Geometría e Ilusión - 1983,expo,Alejandro Otero,artista,1983
Geometría e Ilusión - 1983,expo,Víctor Varela,artista,1983
Carmen Aldunate - 1983,expo,Carmen Aldunate,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,José Bartoli,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Feliciano Bejar,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Leonora Carrington,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Alfredo Castañeda,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Arnaldo Coen,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Pedro Coronel,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Rafael Coronel,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Francisco Corzas,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,José Luis Cuevas,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Roberto Donis,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Helen Escobedo,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Manuel Felguérez,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Fernando García Ponce,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Alberto Gironella,artista,1983
