id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,nombre_expo_order_ano,ano,a1,a2,rol_a1,rol_a2
1,1,Cuadros y motivos místicos de los Siglos XIII y XIX,1956-03-29,1900-01-01,NA,Casona San Antonio,NA,NA,1-Cuadros y motivos místicos de los Siglos XIII y XIX-1956,1956,NA,NA,NA,NA
2,2,"Reproducciones Francesas, impresionistas y modernas",1956-04-07,1900-01-01,NA,Casona San Antonio,NA,NA,"2-Reproducciones Francesas, impresionistas y modernas-1956",1956,NA,NA,NA,NA
3,3,I Galería de Pintores Colombianos Residentes en el Valle del Cauca,1956-05-02,1900-01-01,NA,Casona San Antonio,NA,colectiva,3-I Galería de Pintores Colombianos Residentes en el Valle del Cauca-1956,1956,NA,NA,NA,NA
4,4,Obras de Alejandro Obregón,1956-06-14,1900-01-01,NA,Casona San Antonio,NA,individual,4-Obras de Alejandro Obregón-1956,1956,NA,NA,NA,NA
5,5,Exposición de fotografía,1956-07-19,1900-01-01,NA,Casona San Antonio,NA,NA,5-Exposición de fotografía-1956,1956,NA,NA,NA,NA
6,6,Exposición de Lucy Tejada 1956,1956-10-05,1900-01-01,NA,Casona San Antonio,NA,individual,6-Exposición de Lucy Tejada 1956-1956,1956,NA,NA,NA,NA
7,7,Temas de Boca-Grande,1956-10-19,1900-01-01,NA,Casona San Antonio,NA,individual,7-Temas de Boca-Grande-1956,1956,NA,NA,NA,NA
8,8,Óleos y témperas de Alejandro Obregón,1956-10-26,1900-01-01,NA,Casona San Antonio,NA,individual,8-Óleos y témperas de Alejandro Obregón-1956,1956,NA,NA,NA,NA
9,9,Exposición de caricatura,1956-11-09,1900-01-01,NA,Casona San Antonio,NA,NA,9-Exposición de caricatura-1956,1956,NA,NA,NA,NA
10,10,Yesid Montaña,1956-11-16,1900-01-01,NA,Casona San Antonio,NA,individual,10-Yesid Montaña-1956,1956,NA,NA,NA,NA
11,11,Acuarelas de Hernando Tejada y María Teresa de Patiño,1956-11-27,1900-01-01,NA,Casona San Antonio,NA,colectiva,11-Acuarelas de Hernando Tejada y María Teresa de Patiño-1956,1956,NA,NA,NA,NA
12,12,Jorge Elías Triana,1956-12-13,1900-01-01,NA,Casona San Antonio,NA,individual,12-Jorge Elías Triana-1956,1956,NA,NA,NA,NA
13,13,Carlos Correa,1957-03-01,1900-01-01,NA,Casona San Antonio,NA,individual,13-Carlos Correa-1957,1957,NA,NA,NA,NA
17,14,Exposición de Mireya Zawadzky,1957-04-01,1900-01-01,NA,Casona San Antonio,NA,individual,14-Exposición de Mireya Zawadzky-1957,1957,NA,NA,NA,NA
14,15,Pintura al Óleo del artista español José María Vidal,1957-04-06,1900-01-01,NA,Casona San Antonio,NA,individual,15-Pintura al Óleo del artista español José María Vidal-1957,1957,NA,NA,NA,NA
15,16,Exposición de vitrales de Mona Mondineu,1957-06-14,1900-01-01,NA,Casona San Antonio,NA,individual,16-Exposición de vitrales de Mona Mondineu-1957,1957,NA,NA,NA,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,17-Jornadas de Mayo-1957,1957,NA,NA,NA,NA
18,18,Pintura abstracta de Carlos Rojas,1957-11-05,1900-01-01,NA,Casona San Antonio,NA,individual,18-Pintura abstracta de Carlos Rojas-1957,1957,NA,NA,NA,NA
19,19,Pinturas de Ómar Rayo,1957-11-20,1900-01-01,NA,Casona San Antonio,NA,individual,19-Pinturas de Ómar Rayo-1957,1957,NA,NA,NA,NA
20,20,Acuarelas de Dicken Castro y cerámica Lucy Tejada,1957-12-06,1900-01-01,NA,Casona San Antonio,NA,colectiva,20-Acuarelas de Dicken Castro y cerámica Lucy Tejada-1957,1957,NA,NA,NA,NA
21,21,José de Rokha,1958-02-07,1958-02-14,7,Casona San Antonio,NA,individual,21-José de Rokha-1958,1958,NA,NA,NA,NA
22,22,Exposición de fotografía vallecaucana,1958-03-07,1900-01-01,NA,Casona San Antonio,NA,colectiva,22-Exposición de fotografía vallecaucana-1958,1958,NA,NA,NA,NA
23,23,"Exposición de pinturas de Pedro Gross (el mago ""gross"")",1958-05-16,1900-01-01,NA,Casona San Antonio,NA,individual,"23-Exposición de pinturas de Pedro Gross (el mago ""gross"")-1958",1958,NA,NA,NA,NA
24,24,José Luis de Figueroa,1958-06-19,1958-06-23,4,Casona San Antonio,NA,individual,24-José Luis de Figueroa-1958,1958,NA,NA,NA,NA
25,25,Aníbal Gil,1958-07-01,1900-01-01,NA,Casona San Antonio,NA,individual,25-Aníbal Gil-1958,1958,NA,NA,NA,NA
26,26,Exposición de prensa estudiantil,1958-07-20,1900-01-01,NA,Casona San Antonio,NA,colectiva,26-Exposición de prensa estudiantil-1958,1958,NA,NA,NA,NA
27,27,Exposición de acuarela chilena,1958-10-17,1900-01-01,NA,Casona San Antonio,NA,colectiva,27-Exposición de acuarela chilena-1958,1958,NA,NA,NA,NA
28,28,Carlos Ruiz,1958-11-28,1900-01-01,NA,Casona San Antonio,NA,individual,28-Carlos Ruiz-1958,1958,NA,NA,NA,NA
29,29,Exposición de dibujo infantil,1958-12-08,1900-01-01,NA,Casona San Antonio,NA,colectiva,29-Exposición de dibujo infantil-1958,1958,NA,NA,NA,NA
30,30,Exposición de carteles comerciales,1958-12-13,1900-01-01,NA,Casona San Antonio,NA,colectiva,30-Exposición de carteles comerciales-1958,1958,NA,NA,NA,NA
31,31,Lucy Tejada y María Thereza Negreiros,1958-12-19,1900-01-01,NA,Casona San Antonio,NA,colectiva,31-Lucy Tejada y María Thereza Negreiros-1958,1958,NA,NA,NA,NA
32,32,Apuntes de Viaje,1959-05-29,1900-01-01,NA,Casona San Antonio,NA,individual,32-Apuntes de Viaje-1959,1959,NA,NA,NA,NA
33,33,Jaime López Correa,1959-06-26,1900-01-01,NA,Casona San Antonio,NA,individual,33-Jaime López Correa-1959,1959,NA,NA,NA,NA
34,34,Exposición de libros y caricaturas españolas,1959-09-07,1900-01-01,NA,Casona San Antonio,NA,colectiva,34-Exposición de libros y caricaturas españolas-1959,1959,NA,NA,NA,NA
35,35,Leandro Velasco,1959-10-30,1900-01-01,NA,Casona San Antonio,NA,individual,35-Leandro Velasco-1959,1959,NA,NA,NA,NA
36,36,Arboleda,1959-11-06,1900-01-01,NA,Casona San Antonio,NA,individual,36-Arboleda-1959,1959,NA,NA,NA,NA
37,37,Exposición de carteles cinematográficos,1959-12-16,1900-01-01,NA,Casona San Antonio,NA,colectiva,37-Exposición de carteles cinematográficos-1959,1959,NA,NA,NA,NA
38,38,Alberto Gutiérrez,1960-01-22,1900-01-01,NA,Casona San Antonio,NA,individual,38-Alberto Gutiérrez-1960,1960,NA,NA,NA,NA
39,39,Exposición de Acuarelas,1960-02-08,1960-02-15,7,Casona San Antonio,NA,individual,39-Exposición de Acuarelas-1960,1960,NA,NA,NA,NA
40,40,16 pinturas de Juan Antonio Roda,1960-03-04,1900-01-01,NA,Casona San Antonio,NA,individual,40-16 pinturas de Juan Antonio Roda-1960,1960,NA,NA,NA,NA
41,41,David Manzur,1960-03-25,1900-01-01,NA,Casona San Antonio,NA,individual,41-David Manzur-1960,1960,NA,NA,NA,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,42-Exposición Colectiva de Pintura-1960,1960,NA,NA,NA,NA
42,43,A. Rivera G.,1960-05-06,1960-05-14,8,Casona San Antonio,NA,individual,43-A. Rivera G.-1960,1960,NA,NA,NA,NA
43,44,Oleos recientes de Marielle Muheim,1960-06-07,1900-01-01,NA,Casona San Antonio,NA,individual,44-Oleos recientes de Marielle Muheim-1960,1960,NA,NA,NA,NA
44,45,Hernando Tejada,1960-06-17,1900-01-01,NA,Casona San Antonio,NA,individual,45-Hernando Tejada-1960,1960,NA,NA,NA,NA
45,46,Jan Palmer y S. Crawford,1960-07-01,1960-07-15,14,Casona San Antonio,NA,colectiva,46-Jan Palmer y S. Crawford-1960,1960,NA,NA,NA,NA
46,47,Sessano,1960-07-12,1900-01-01,NA,Casona San Antonio,NA,individual,47-Sessano-1960,1960,NA,NA,NA,NA
47,48,Samuel Montealegre dibujos,1960-11-04,1960-11-15,11,Casona San Antonio,NA,individual,48-Samuel Montealegre dibujos-1960,1960,NA,NA,NA,NA
48,49,Leandro Velasco,1960-11-15,1900-01-01,NA,Casona San Antonio,NA,individual,49-Leandro Velasco-1960,1960,NA,NA,NA,NA
49,50,Elio Berhanyer,1960-12-29,1900-01-01,NA,Casona San Antonio,NA,individual,50-Elio Berhanyer-1960,1960,NA,NA,NA,NA
51,51,Óleos,1961-01-20,1900-01-01,NA,Casona San Antonio,NA,individual,51-Óleos-1961,1961,NA,NA,NA,NA
52,52,Exposición infantil intercolegial,1961-02-14,1900-01-01,NA,Casona San Antonio,NA,colectiva,52-Exposición infantil intercolegial-1961,1961,NA,NA,NA,NA
53,53,Pinturas y anti-pinturas,1961-02-17,1900-01-01,NA,Casona San Antonio,NA,individual,53-Pinturas y anti-pinturas-1961,1961,NA,NA,NA,NA
54,54,Exposición de Grabados,1961-03-17,1900-01-01,NA,Casona San Antonio,NA,individual,54-Exposición de Grabados-1961,1961,NA,NA,NA,NA
55,55,Pinturas de Fanny Buitrago,1961-04-14,1900-01-01,NA,Casona San Antonio,NA,individual,55-Pinturas de Fanny Buitrago-1961,1961,NA,NA,NA,NA
56,56,Mi viaje a Israel,1961-05-19,1900-01-01,NA,Casona San Antonio,NA,individual,56-Mi viaje a Israel-1961,1961,NA,NA,NA,NA
57,57,Alejandro Obregón y Julio Abril,1961-06-03,1900-01-01,NA,Casona San Antonio,NA,colectiva,57-Alejandro Obregón y Julio Abril-1961,1961,NA,NA,NA,NA
58,58,Emma Reyes,1961-07-13,1961-07-24,11,Casona San Antonio,NA,individual,58-Emma Reyes-1961,1961,NA,NA,NA,NA
