id_expo,nombre_expo,nombre_expo_ano,descripcion_expo,autor_texto,id_autor_texto,documento_ppal,id_documentos_expo,ano_ini,mes_ini,dia_ini,ano_fin,mes_fin,dia_fin,fecha_ini,fecha_fin,duracion_dias,artistas,id_personas_artistas,curadores,id_personas_curadores,presentadores,id_personas_presentadores,nombre_espacio,id_espacio,obras,id_obras,apoyan_auspicia,id_personas_apoyan,id_organizaciones_apoyan,id_img_doc_fk,observaciones_expos,tipo_expo,expo_order
1,Cuadros y motivos místicos de los Siglos XIII y XIX,Cuadros y motivos místicos de los Siglos XIII y XIX*1956,,,,,,1956,3,29,,,,1956-03-29,1900-01-01,#NUM!,,,,,,,Casona San Antonio,,,,,,,,,,1
2,"Reproducciones Francesas, impresionistas y modernas","Reproducciones Francesas, impresionistas y modernas*1956",,,,,,1956,4,7,,,,1956-04-07,1900-01-01,#NUM!,,,,,,,Casona San Antonio,,,,Soffy Arboleda de Vega,,,,,,2
3,I Galería de Pintores Colombianos Residentes en el Valle del Cauca ,I Galería de Pintores Colombianos Residentes en el Valle del Cauca *1956,,,,,,1956,5,2,,,,1956-05-02,1900-01-01,#NUM!,"Carlos Correa, Julio Abril, Hernando Tejada, Pablo Gálvez, Luis Aragón, Jesus María Espinoza, Mario Rojas, Héctor Labrada, Mireya Zawadzki, Maruja de Rengifo, Daniel Romero Lozano, Antonio Ramírez, Iván González, Rosita Carvajal, Ana de Gamboa,Hernán Muñoz",,,,,,Casona San Antonio,,,,,,,,,,3
4,Obras de Alejandro Obregón,Obras de Alejandro Obregón*1956,,,,,,1956,6,14,,,,1956-06-14,1900-01-01,#NUM!,Alejandro Obregón,,,,Julio Abril,,Casona San Antonio,,,,,,,,,,4
5,Exposición de fotografía,Exposición de fotografía*1956,,,,,,1956,7,19,,,,1956-07-19,1900-01-01,#NUM!,,,,,,,Casona San Antonio,,,,,,,,,,5
6,Exposición de Lucy Tejada 1956,Exposición de Lucy Tejada 1956*1956,,,,,,1956,10,5,,,,1956-10-05,1900-01-01,#NUM!,Lucy Tejada,,,,Jaime Soto,,Casona San Antonio,,,,,,,,,,6
7,Temas de Boca-Grande,Temas de Boca-Grande*1956,,,,,,1956,10,19,,,,1956-10-19,1900-01-01,#NUM!,Mireya Zawadzki,,,,Alfonso Bonilla Aragón,,Casona San Antonio,,,,,,,,,,7
8,Óleos y témperas de Alejandro Obregón,Óleos y témperas de Alejandro Obregón*1956,,,,,,1956,10,26,,,,1956-10-26,1900-01-01,#NUM!,Alejandro Obregón,,,,Emma Alder de Gamboa ,,Casona San Antonio,,,,,,,,,,8
9,Exposición de caricatura,Exposición de caricatura*1956,,,,,,1956,11,9,,,,1956-11-09,1900-01-01,#NUM!,,,,,José Gers,,Casona San Antonio,,,,,,,,,,9
10,Yesid Montaña,Yesid Montaña*1956,,,,,,1956,11,16,,,,1956-11-16,1900-01-01,#NUM!,Yesid Montaña,,,,Octavio Gamboa,,Casona San Antonio,,,,,,,,,,10
11,Acuarelas de Hernando Tejada y María Teresa de Patiño,Acuarelas de Hernando Tejada y María Teresa de Patiño*1956,,,,,,1956,11,27,,,,1956-11-27,1900-01-01,#NUM!,"Hernando Tejada,María Teresa de Patiño",,,,Enrique Buenaventura,,Casona San Antonio,,,,,,,,,,11
12,Jorge Elías Triana,Jorge Elías Triana*1956,,,,,,1956,12,13,,,,1956-12-13,1900-01-01,#NUM!,Jorge Elías Triana,,,,Gustavo Camargo,,Casona San Antonio,,,,,,,,,,12
