nombre_institucion,id_organizaciones,ano_constitucion,ano_cierre,financiacion,sectores,pais,id_imagen_logo_fk
Asociación Francesa de Acción Artística,1,,,,,,
Cinemateca de Berlín,2,,,,,,
Departamento de Artes Visuales del Ministerio de Cultura,3,,,,,,
Dirección de Patrimonio del Ministerio de Cultura,4,,,,,,
Doc Desing,5,,,,,,
Escuela Especial de Arquitectura/ESAP,6,,,,,,
Exposición realizada en el marco de PhotoCali 2007,7,,,,,,
Fundación MAPFRE,8,,,,,,
Fundación Rogelio Salmona,9,,,,,,
Galería de Francony de París,10,,,,,,
Galería Deimos de Bogotá,11,,,,,,
Instituto de Cultura Puertoriqueño,12,,,,,,
Instituto Tamarind de EE.UU.,13,,,,,,
Intituto Smithsonian de EE.UU.,14,,,,,,
Museo Beth Hatefutsoth,15,,,,,,
Museo de Francia,16,,,,,,
Museo Nacional de Ciencia y Tecnología de Canadá,17,,,,,,
Museo Nacional de Colombia,18,,,,,,
Propal S.A.,19,,,,,,
13ª Feria del Libro del Pacífico,20,,,,,,
14 Salones regionales,21,,,,,,
15 Salones Regionales de Artistas –Zona Pacífico–,22,,,,,,
7 Festival de Performance de Cali,23,,,,,,
Art's events,24,,,,,,
Becas Bloc,25,,,,,,
Bloc 2014,26,,,,,,
Expo-marca Latinoamericana,27,,,,,,
Festival Internacional de Arte,28,,,,,,
Festival Internacional de Arte de Cali,29,,,,,,
Festival Nacional de Arte,30,,,,,,
Juegos del Pacífico,31,,,,,,
la trayectoria de una imágen,32,,,,,,
ACODRES,33,,,,,,
Aerolíneas Tampa,34,,,,,,
AFEX,35,,,,,,
Agencia de Comunicación Internacional de los Estados Unidos,36,,,,,,
Agencia Española de Cooperación Internacional,37,,,,,,
Air France,38,,,,,,
Alcaldía de Cali,39,,,,,,
Alcaldía Mayor de Bogotá,40,,,,,,
Alianza Colombo-Francesa,41,,,,,,
Alianza Colombo-Francesa de Bogotá,42,,,,,,
Alianza Colombo-Francesa de Cali,43,,,,,,
Alianza Fiduciaria,44,,,,,,
Alianza Francesa,45,,,,,,
Allers S.A.,46,,,,,,
Almanaque Azul,47,,,,,,
Aluminio Munal,48,,,,,,
Amigos de las Américas,49,,,,,,
ANDI,50,,,,,,
Artemo Franco Mejía y Cia,51,,,,,,
Ashe y Cia.,52,,,,,,
Asocaña,53,,,,,,
Asociación colombiana de farmacología,54,,,,,,
