nombre_registro_creador,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_nacimiento,ano_muerte,sexo,nacionalidad,pais_nacimiento,ciudad_nacimiento,ocupaciones,id_img__persona_fk,obra_en_coleccion_MTL,url_wikipedia_persona,observaciones_personas,,tipo_creador
Emma Reyes,1,Emma,Reyes,,,1915,,,Colombia,Colombia,Bogotá ,artista,,45,,,,
Édgar Negret,2,Édgar,Negret,,,,,,Colombia,,,artista,,31,,,,
Lorenzo Homar,3,Lorenzo,Homar,,,,,,Puerto Rico,,,artista,,29,,,,
Ómar Rayo,4,Ómar,Rayo,,,1928,2010,M,Colombia,Colombia,Roldanillo ,artista,,28,,Autodidacta,,
María de la Paz Jaramillo,5,María de la Paz,Jaramillo,,Maripaz Jaramillo,1948,,F,Colombia,Colombia,Manizales,artista,,27,,,,
Gy Szabo Bela,6,Gy,Szabo Bela,,,,,,Rumania,,,artista,,25,,,,
Pedro Alcántara Herrán,7,Pedro,Alcántara,,,1942,,M,Colombia,Colombia,Cali ,artista,,22,,,,
Álvaro Barrios,8,Álvaro,Barrios,,,,,M,Colombia,,,artista,,21,,,,
Beatriz González,9,Beatriz,González,,,1938,,F,Colombia,Colombia ,Bucaramanga ,artista,,20,,,,
Hernán Díaz,10,Hernán,Díaz,,,,,M,Colombia,,,artista,,20,,,,
Antonio Caro,11,Antonio,Caro,,,1950,,F,Colombia,Colombia ,Bogotá,artista,,17,,,,
Enrique Grau,12,Enrique,Grau,,,1920,2004,M,Colombia,Colombia ,Cartagena ,artista,,17,,,,
Gustavo Zalamea,13,Gustavo,Zalamea,,,,,M,Colombia,,,artista,,16,,,,
Óscar Muñoz,14,Óscar,Muñoz,,,1951,,M,Colombia,Colombia,Popayán,artista,,15,,,,
Luis Eduardo Borja,15,Luis Eduardo,Borja,,,,,M,Colombia,,,artista,,15,,,,
Luis Caballero,16,Luis,Caballero,,,1942,1995,M,Colombia,Colombia,Bogotá,artista,,15,,,,
Lucy Tejada,17,Lucy,Tejada,,,1920,2011,F,Colombia,Colombia,Pereira,artista,,14,,,,
Nunik Sauret,18,Nunik,Sauret,,,,,,México,,,artista,,12,,,,
León Ferrari,19,León,Ferrari,,,,,M,Brasil,,,artista,,12,,,,
Juan Antonio Roda,20,Juan Antonio,Roda,,,1921,2003,M,Español,España,Valencia,artista,,12,,,,
Teresa Cuéllar,21,Teresa,Cuellar,Teyé,,,,,Colombia,,,artista,,11,,,,
Santiago Cárdenas,22,Santiago,Cárdenas,,,1932,,M,Colombia,Colombia ,Bogotá ,artista,,10,,,,
